HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Total_x,año_trimestre_provincia,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_y
540,13644,53245,5924,1334,2,0,74689,2014-2-Misiones,2014,2,Misiones,56933.0,17594.0,4.0,150.0,8.0,74689.0
1531,3206,79087,92,2289,2,30,86237,2014-2-Neuquén,2014,2,Neuquén,47767.0,29776.0,997.0,10765.0,2983.0,92288.0
3468,5507,84978,78,1569,2,8,95610,2014-2-Río Negro,2014,2,Río Negro,64920.0,24944.0,876.0,3657.0,1560.0,95957.0
53,18818,64440,8293,388,0,0,91992,2014-2-Salta,2014,2,Salta,73841.0,17504.0,45.0,7.0,577.0,91974.0
10,507,51129,0,0,0,0,51646,2014-2-San Juan,2014,2,San Juan,48161.0,451.0,722.0,1139.0,1173.0,51646.0
7,0,13045,0,0,1,2,13055,2014-2-San Luis,2014,2,San Luis,11306.0,925.0,354.0,22.0,448.0,13055.0
153,1637,25374,2,0,0,0,27166,2014-2-Santa Cruz,2014,2,Santa Cruz,18956.0,448.0,381.0,4118.0,3266.0,27169.0
8515,115197,353559,23939,10058,34,792,512094,2014-2-Santa Fe,2014,2,Santa Fe,324101.0,178495.0,3085.0,6041.0,636.0,512358.0
1231,9914,23842,2867,142,0,0,37996,2014-2-Santiago Del Estero,2014,2,Santiago Del Estero,32820.0,4231.0,19.0,907.0,34.0,38011.0
12,334,31198,2,0,0,0,31546,2014-2-Tierra Del Fuego,2014,2,Tierra Del Fuego,21618.0,3008.0,648.0,1.0,2934.0,28209.0
6,32714,84675,14101,559,4,0,132059,2014-2-Tucumán,2014,2,Tucumán,131740.0,97.0,121.0,13.0,98.0,132069.0
8469,171244,2279875,121787,38923,206,4037,2624542,2014-1-Buenos Aires,2014,1,Buenos Aires,1567685.0,1000879.0,120960.0,16528.0,33824.0,2739876.0
852,88825,1096050,70292,38797,54,6208,1301080,2014-1-Capital Federal,2014,1,Capital Federal,445569.0,820161.0,17767.0,1866.0,14555.0,1299918.0
19,9147,13330,1672,64,0,0,24232,2014-1-Catamarca,2014,1,Catamarca,24126.0,46.0,17.0,0.0,43.0,24232.0
438,15849,40869,4644,741,5,0,62546,2014-1-Chaco,2014,1,Chaco,52971.0,9497.0,30.0,0.0,58.0,62556.0
7452,10,61329,0,0,0,0,68791,2014-1-Chubut,2014,1,Chubut,51066.0,539.0,866.0,10776.0,6974.0,70221.0
2076,107705,423114,24112,9818,40,588,567453,2014-1-Córdoba,2014,1,Córdoba,336841.0,225769.0,347.0,3585.0,368.0,566910.0
20,16357,40742,4486,630,0,0,62235,2014-1-Corrientes,2014,1,Corrientes,52565.0,8279.0,31.0,1306.0,55.0,62236.0
2177,35206,85248,10828,746,0,43,134248,2014-1-Entre Ríos,2014,1,Entre Ríos,107883.0,21379.0,49.0,4887.0,133.0,134331.0
